ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.8016,-0.334,8.4384,43029,2023-07-08 16:06:15:836
-5.5988,1.1648,7.1263,44029,2023-07-08 16:06:16:836
-6.0549,0.1209,10.2879,45029,2023-07-08 16:06:17:836
-3.2645,1.5335,7.9571,46030,2023-07-08 16:06:18:837
-2.5271,-0.0012,9.7719,47029,2023-07-08 16:06:19:836
-0.0539,-1.9393,9.3158,48029,2023-07-08 16:06:20:836
-0.5626,-1.0331,8.9376,49030,2023-07-08 16:06:21:837
0.5698,-1.3886,9.6007,50029,2023-07-08 16:06:22:836
-3.4884,-0.8583,8.6095,51029,2023-07-08 16:06:23:836
-5.1763,-0.6608,8.6,52030,2023-07-08 16:06:24:837
-4.9416,-0.4178,7.9667,53029,2023-07-08 16:06:25:836
-4.5047,1.6053,7.8781,54029,2023-07-08 16:06:26:836
-1.6305,-1.9022,8.3594,55029,2023-07-08 16:06:27:836
-3.4836,-3.4381,10.9678,56029,2023-07-08 16:06:28:836
-0.8823,-0.9457,8.5473,57029,2023-07-08 16:06:29:836
-1.4018,-1.9632,9.9323,58030,2023-07-08 16:06:30:837
-3.0347,0.2705,9.1877,59029,2023-07-08 16:06:31:836
0.3292,-0.2023,7.6447,60029,2023-07-08 16:06:32:836
-3.2693,-0.3364,11.4347,61030,2023-07-08 16:06:33:837
-4.2748,0.8045,7.8015,62029,2023-07-08 16:06:34:836
-0.4896,-0.8296,9.493,63030,2023-07-08 16:06:35:837
-2.0973,-0.4645,9.517,64029,2023-07-08 16:06:36:836
-3.9576,-1.3527,9.2476,65029,2023-07-08 16:06:37:836
-1.4868,-2.4948,9.7157,66030,2023-07-08 16:06:38:837
-2.4983,-1.8495,8.9747,67030,2023-07-08 16:06:39:837
-4.5119,-2.788,10.1634,68029,2023-07-08 16:06:40:836
-4.0582,0.3017,7.3119,69030,2023-07-08 16:06:41:837
-2.2146,-0.9325,8.7771,70029,2023-07-08 16:06:42:836
-2.6767,1.318,7.2748,71029,2023-07-08 16:06:43:836
-1.1396,-1.4066,8.4228,72029,2023-07-08 16:06:44:836
-6.9587,-0.0826,7.5513,73029,2023-07-08 16:06:45:836
-3.735,1.7861,7.9715,74029,2023-07-08 16:06:46:836
-5.6755,1.9154,5.284,75029,2023-07-08 16:06:47:836
-3.055,-1.2079,9.0752,76030,2023-07-08 16:06:48:837
-6.1339,-1.0391,9.4703,77029,2023-07-08 16:06:49:836
-0.4166,-0.6931,8.2109,78029,2023-07-08 16:06:50:836
-2.8623,0.6656,9.0501,79030,2023-07-08 16:06:51:837
-1.5036,-1.8854,9.3111,80029,2023-07-08 16:06:52:836
-1.0702,-2.4624,9.4559,81029,2023-07-08 16:06:53:836
-3.5374,0.4298,9.7073,82030,2023-07-08 16:06:54:837
-1.9968,-2.1656,9.6822,83029,2023-07-08 16:06:55:836
-3.1352,0.7087,8.2959,84029,2023-07-08 16:06:56:836
-5.43,-0.7626,8.0852,85029,2023-07-08 16:06:57:836
-4.3359,0.4369,7.2724,86030,2023-07-08 16:06:58:837
-2.3224,-0.8308,8.9675,87029,2023-07-08 16:06:59:836
-1.1588,-0.7733,8.8202,88029,2023-07-08 16:07:00:836
-2.873,-0.9218,8.9663,89029,2023-07-08 16:07:01:836
-6.0406,-0.4334,7.6674,90029,2023-07-08 16:07:02:836
-3.7098,-2.569,9.3589,91029,2023-07-08 16:07:03:836
-1.6257,-1.3408,8.9866,92029,2023-07-08 16:07:04:836
-2.2266,-0.9385,8.8837,93030,2023-07-08 16:07:05:837
-4.5801,0.3687,8.0589,94029,2023-07-08 16:07:06:836
-7.2508,-0.6069,7.9057,95029,2023-07-08 16:07:07:836
-3.5039,-0.1999,7.1096,96029,2023-07-08 16:07:08:836
-4.5286,-0.8523,8.6227,97029,2023-07-08 16:07:09:836
-3.0957,1.5598,7.3346,98029,2023-07-08 16:07:10:836
-6.5314,2.0303,8.2361,99030,2023-07-08 16:07:11:837
0.0132,-0.1951,8.8334,100029,2023-07-08 16:07:12:836
-2.958,-0.2143,7.7895,101029,2023-07-08 16:07:13:836
-1.549,-4.2162,10.3513,102030,2023-07-08 16:07:14:837
-3.0658,-0.0551,8.3701,103029,2023-07-08 16:07:15:836
-3.0933,-1.8878,11.4539,104029,2023-07-08 16:07:16:836
-3.5949,-0.1688,8.5569,105030,2023-07-08 16:07:17:837
-1.8268,-2.0889,8.989,106029,2023-07-08 16:07:18:836
-3.4165,1.2594,9.396,107029,2023-07-08 16:07:19:836
-5.9412,1.2761,9.2596,108029,2023-07-08 16:07:20:836
-5.2122,1.6077,7.3346,109030,2023-07-08 16:07:21:837
-4.4101,-1.0965,9.5014,110029,2023-07-08 16:07:22:836
-2.9066,-0.68,7.8709,111029,2023-07-08 16:07:23:836
-6.8582,2.0171,8.74,112029,2023-07-08 16:07:24:836
-7.0988,3.5314,8.2696,113030,2023-07-08 16:07:25:837
-5.5976,0.5567,8.7939,114029,2023-07-08 16:07:26:836
-4.561,0.0479,9.2201,115029,2023-07-08 16:07:27:836
-4.6304,-0.2885,8.1283,116029,2023-07-08 16:07:28:836
-0.9385,-1.8579,8.4922,117030,2023-07-08 16:07:29:837
-2.5522,0.067,11.7352,118029,2023-07-08 16:07:30:836
-3.4716,2.6336,7.9308,119030,2023-07-08 16:07:31:837
-1.0953,1.8723,8.1343,120030,2023-07-08 16:07:32:837
-2.8778,0.0096,8.2157,121029,2023-07-08 16:07:33:836
-4.5143,-0.9697,10.7188,122029,2023-07-08 16:07:34:836
-1.5179,1.409,8.8262,123029,2023-07-08 16:07:35:836
-1.6688,1.0235,10.3214,124030,2023-07-08 16:07:36:837
-5.7102,0.6093,10.8266,125029,2023-07-08 16:07:37:836
-3.6607,1.2318,9.9036,126029,2023-07-08 16:07:38:836
-6.8366,2.5295,12.2416,127029,2023-07-08 16:07:39:836
-5.2696,2.6576,9.59,128029,2023-07-08 16:07:40:836
-3.6907,4.452,7.7488,129029,2023-07-08 16:07:41:836
-3.4967,0.9792,8.1403,130029,2023-07-08 16:07:42:836
-3.3662,-0.3148,9.1782,131030,2023-07-08 16:07:43:837
-4.2988,0.4968,7.8817,132029,2023-07-08 16:07:44:836
-4.1384,-0.8679,8.1235,133030,2023-07-08 16:07:45:837
-4.9871,0.1616,8.7257,134029,2023-07-08 16:07:46:836
-3.8846,0.5519,8.1199,135029,2023-07-08 16:07:47:836
-2.0099,-0.5124,9.0668,136030,2023-07-08 16:07:48:837
-4.4424,-0.5219,8.2504,137029,2023-07-08 16:07:49:836
-3.2645,-1.1492,8.7508,138029,2023-07-08 16:07:50:836
-2.6983,-0.2286,8.77,139029,2023-07-08 16:07:51:836
-3.2561,-0.3172,8.7424,140029,2023-07-08 16:07:52:836
-4.2736,-1.1432,8.4336,141030,2023-07-08 16:07:53:837
-4.1001,-1.4509,7.337,142029,2023-07-08 16:07:54:836
0.3029,-2.563,5.7413,143029,2023-07-08 16:07:55:836
-3.401,0.9912,9.5744,144029,2023-07-08 16:07:56:836
-4.7657,-2.3068,10.4112,145029,2023-07-08 16:07:57:836
0.7183,-5.2637,7.8434,146029,2023-07-08 16:07:58:836
-2.1679,-0.3663,7.6315,147029,2023-07-08 16:07:59:836
-2.4924,-1.8986,8.6239,148030,2023-07-08 16:08:00:837
-2.3547,-0.923,9.4846,149029,2023-07-08 16:08:01:836
-4.4317,1.2917,10.9307,150029,2023-07-08 16:08:02:836
-2.2781,-0.1293,8.9986,151029,2023-07-08 16:08:03:836
-3.9804,-0.3196,7.4388,152029,2023-07-08 16:08:04:836
-3.4022,-0.6608,9.2799,153030,2023-07-08 16:08:05:837
-4.3012,-0.4286,8.4025,154029,2023-07-08 16:08:06:836
-4.2808,-0.7685,10.8122,155029,2023-07-08 16:08:07:836
-0.6823,-2.3846,7.6998,156030,2023-07-08 16:08:08:837
-2.077,-1.986,10.3226,157029,2023-07-08 16:08:09:836
-3.0442,0.4549,7.7931,158029,2023-07-08 16:08:10:836
-3.5506,-1.1588,8.0433,159030,2023-07-08 16:08:11:837
-1.889,-0.5806,8.4587,160029,2023-07-08 16:08:12:836
-4.6244,0.4597,7.7883,161029,2023-07-08 16:08:13:836
-3.6045,-2.4457,9.7695,162029,2023-07-08 16:08:14:836
-0.8571,-2.1787,9.8186,163029,2023-07-08 16:08:15:836
-1.6544,-3.4644,9.3901,164030,2023-07-08 16:08:16:837
-2.2134,-0.9194,8.91,165029,2023-07-08 16:08:17:836
0.6476,-4.4233,7.5908,166030,2023-07-08 16:08:18:837
-3.8044,-1.081,9.323,167029,2023-07-08 16:08:19:836
-0.0994,-3.9073,9.3948,168029,2023-07-08 16:08:20:836
-2.4684,-1.0295,8.1211,169029,2023-07-08 16:08:21:836
-0.5028,0.3831,8.0756,170030,2023-07-08 16:08:22:837
-5.7712,0.0263,11.0349,171029,2023-07-08 16:08:23:836
-2.4229,-0.5148,6.5302,172029,2023-07-08 16:08:24:836
-0.2143,-2.302,9.4583,173030,2023-07-08 16:08:25:837
-1.0606,-2.156,8.4575,174029,2023-07-08 16:08:26:836
-1.6664,0.6416,9.8497,175029,2023-07-08 16:08:27:836
-4.0893,-0.8763,8.5808,176030,2023-07-08 16:08:28:837
-6.1818,1.561,8.3965,177029,2023-07-08 16:08:29:836
-4.2377,-0.8811,9.6714,178029,2023-07-08 16:08:30:836
-1.1444,-3.978,9.8557,179029,2023-07-08 16:08:31:836
-2.1787,-2.0973,8.6766,180030,2023-07-08 16:08:32:837
-4.0235,0.972,8.5772,181029,2023-07-08 16:08:33:836
-0.7374,-1.3048,8.734,182029,2023-07-08 16:08:34:836
-0.6428,-3.2549,8.3175,183029,2023-07-08 16:08:35:836
-2.1308,-1.3001,8.2959,184030,2023-07-08 16:08:36:837
-5.5845,0.3448,8.0721,185029,2023-07-08 16:08:37:836
-5.5545,4.0642,4.039,186029,2023-07-08 16:08:38:836
-1.8172,0.1532,8.4408,187029,2023-07-08 16:08:39:836
-2.9006,-2.6109,8.4252,188030,2023-07-08 16:08:40:837
-3.2358,-1.6209,8.2636,189029,2023-07-08 16:08:41:836
-3.8032,-1.6005,8.4503,190029,2023-07-08 16:08:42:836
-3.6679,-1.5646,8.6155,191029,2023-07-08 16:08:43:836
-3.7266,-1.5634,8.6143,192030,2023-07-08 16:08:44:837
-3.717,-1.4401,8.6359,193029,2023-07-08 16:08:45:836
-3.8247,-1.3731,8.5281,194029,2023-07-08 16:08:46:836
-3.6571,-1.1073,8.6371,195029,2023-07-08 16:08:47:836
-4.0103,-1.0343,8.418,196029,2023-07-08 16:08:48:836
-3.5314,-1.2701,8.7891,197029,2023-07-08 16:08:49:836
-4.4592,-0.8667,8.3606,198029,2023-07-08 16:08:50:836
-3.4165,-1.4425,8.7712,199030,2023-07-08 16:08:51:837
-3.3627,-1.5024,8.3665,200029,2023-07-08 16:08:52:836
-3.8235,-0.8224,8.4719,201029,2023-07-08 16:08:53:836
-3.8008,-0.9481,8.5868,202030,2023-07-08 16:08:54:837
-3.5781,-1.1995,8.6862,203029,2023-07-08 16:08:55:836
-3.559,-1.1217,8.7017,204029,2023-07-08 16:08:56:836
-2.873,-1.8328,9.505,205029,2023-07-08 16:08:57:836
-3.2585,-1.2821,8.7891,206029,2023-07-08 16:08:58:836
-3.4429,-1.2175,8.7161,207029,2023-07-08 16:08:59:836
-3.4165,-1.2222,8.7245,208029,2023-07-08 16:09:00:836
-3.4141,-1.257,8.685,209030,2023-07-08 16:09:01:837
-3.3878,-1.2905,8.7305,210030,2023-07-08 16:09:02:837
-1.9549,-1.816,9.4894,211030,2023-07-08 16:09:03:837
1.2929,1.8627,8.2851,212029,2023-07-08 16:09:04:836
0.4645,2.9257,9.1913,213029,2023-07-08 16:09:05:836
