ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.2289,-1.5993,12.3421,116022,2023-07-08 16:24:18:558
4.0737,-1.1456,7.5501,117022,2023-07-08 16:24:19:558
4.4017,-1.0068,8.8131,118023,2023-07-08 16:24:20:559
4.3227,-1.3108,8.4647,119022,2023-07-08 16:24:21:558
4.6448,-1.5083,7.9715,120022,2023-07-08 16:24:22:558
5.0841,-1.5419,10.9595,121022,2023-07-08 16:24:23:558
5.0769,-1.0283,12.3469,122022,2023-07-08 16:24:24:558
4.9057,-0.8092,10.2711,123022,2023-07-08 16:24:25:558
5.3463,-1.5251,11.9782,124022,2023-07-08 16:24:26:558
4.9009,-1.2486,11.1175,125022,2023-07-08 16:24:27:558
5.223,-1.573,9.7073,126022,2023-07-08 16:24:28:558
4.7417,-1.3623,9.2895,127022,2023-07-08 16:24:29:558
4.4664,-1.5359,8.5246,128022,2023-07-08 16:24:30:558
4.8566,-1.4892,7.4567,129022,2023-07-08 16:24:31:558
4.4532,-1.245,8.0924,130022,2023-07-08 16:24:32:558
4.7549,-1.1121,8.0266,131022,2023-07-08 16:24:33:558
4.9045,-0.929,10.8589,132022,2023-07-08 16:24:34:558
4.1767,-0.7721,9.0597,133022,2023-07-08 16:24:35:558
5.5833,-1.1432,11.0636,134022,2023-07-08 16:24:36:558
4.5023,-1.0343,11.1163,135022,2023-07-08 16:24:37:558
4.889,-1.3659,10.1167,136022,2023-07-08 16:24:38:558
4.7429,-1.1839,10.5536,137022,2023-07-08 16:24:39:558
4.5598,-1.3791,7.0066,138022,2023-07-08 16:24:40:558
4.8602,-1.4892,8.26,139023,2023-07-08 16:24:41:559
4.4293,-1.2198,6.7337,140022,2023-07-08 16:24:42:558
4.3682,-1.4425,6.7576,141022,2023-07-08 16:24:43:558
4.47,-0.996,9.6271,142022,2023-07-08 16:24:44:558
4.4831,-0.7494,9.5589,143022,2023-07-08 16:24:45:558
5.4803,-1.3324,12.6713,144023,2023-07-08 16:24:46:559
5.0278,-1.0403,13.0723,145022,2023-07-08 16:24:47:558
5.6731,-1.6281,11.8693,146022,2023-07-08 16:24:48:558
5.1068,-1.421,11.9554,147022,2023-07-08 16:24:49:558
4.9153,-1.5646,8.1283,148022,2023-07-08 16:24:50:558
4.1635,-1.0355,9.1243,149022,2023-07-08 16:24:51:558
4.6304,-1.397,8.0242,150023,2023-07-08 16:24:52:559
5.0003,-1.7873,8.175,151022,2023-07-08 16:24:53:558
4.5633,-0.9409,10.0724,152022,2023-07-08 16:24:54:558
4.3179,-0.8859,9.8988,153022,2023-07-08 16:24:55:558
4.5071,-0.7661,11.8298,154022,2023-07-08 16:24:56:558
5.3678,-1.2797,12.2607,155022,2023-07-08 16:24:57:558
5.2002,-1.8806,11.8716,156022,2023-07-08 16:24:58:558
4.701,-1.2965,11.2396,157022,2023-07-08 16:24:59:558
4.1396,-1.1193,10.3214,158022,2023-07-08 16:25:00:558
4.1396,-0.7757,10.173,159022,2023-07-08 16:25:01:558
3.5566,-0.8703,10.003,160022,2023-07-08 16:25:02:558
3.298,-0.7434,9.1937,161022,2023-07-08 16:25:03:558
2.8826,-0.5674,8.7843,162022,2023-07-08 16:25:04:558
2.4852,-0.1856,10.3418,163022,2023-07-08 16:25:05:558
1.9225,-0.425,9.3518,164022,2023-07-08 16:25:06:558
1.5514,0.0587,9.0728,165022,2023-07-08 16:25:07:558
1.8878,-0.2789,9.9719,166022,2023-07-08 16:25:08:558
1.494,-0.164,8.673,167022,2023-07-08 16:25:09:558
1.4317,0.1197,9.1662,168022,2023-07-08 16:25:10:558
1.3827,0.1472,9.4786,169022,2023-07-08 16:25:11:558
1.1025,0.2215,9.3458,170022,2023-07-08 16:25:12:558
1.1636,0.3232,9.2177,171022,2023-07-08 16:25:13:558
1.2318,0.2586,9.6043,172022,2023-07-08 16:25:14:558
0.7278,0.2298,9.1566,173022,2023-07-08 16:25:15:558
0.6117,0.0551,9.3889,174022,2023-07-08 16:25:16:558
0.6333,0.4034,9.5181,175023,2023-07-08 16:25:17:559
0.5722,0.4393,9.3362,176022,2023-07-08 16:25:18:558
0.5722,0.4082,9.3805,177022,2023-07-08 16:25:19:558
0.3567,0.2622,9.4523,178022,2023-07-08 16:25:20:558
0.2682,-2.4205,9.1961,179022,2023-07-08 16:25:21:558
-2.156,-6.8905,3.717,180022,2023-07-08 16:25:22:558
0.2897,1.8375,8.7951,181022,2023-07-08 16:25:23:558
2.1296,1.9405,9.2249,182022,2023-07-08 16:25:24:558
-0.0455,1.3527,9.9707,183022,2023-07-08 16:25:25:558
