"name","extn","hour","min","sec","size","date"
"lec4","mp4",0,17,28.7,45246955,"Oct 21"
"Screencast 2020-06-21 19:22:11","mp4",0,3,8.33,1413325,"Jun 21"
"spl","mp4",0,22,57.68,196194313,"Apr 25"
"lec31","mp4",0,17,17.33,63477018,"Nov 14"
"jacobi","mp4",0,23,7.32,48285597,"Sep 27"
"William Shakespeare's Othello with Sir Laurence Olivier","mp4",2,38,38.35,1546232195,"Dec 01"
"lec42","mp4",0,19,38.57,43715758,"Dec 10"
"lec37","mp4",0,13,1.77,30010751,"Nov 26"
"lec11","mp4",0,24,2.1,81114194,"Sep 23"
"lec33","mp4",0,13,46.8,29689469,"Nov 19"
"lec22","mp4",0,14,19.07,28655727,"Oct 21"
"lec32","mp4",0,21,6.03,43976340,"Nov 16"
"eng","mp4",0,0,21.31,4009655,"Jun 21"
"lec10","mp4",0,24,1.52,106393613,"Sep 22"
"lec23","mp4",0,36,31.9,170803074,"Oct 24"
"lec102","mp4",0,26,28.3,147518765,"Oct 30"
"indranilda","mp4",0,21,30.56,72026013,"Sep 27"
"lec15","mp4",0,12,39.33,23347637,"Oct 10"
"lec14","mp4",0,29,28.03,246058602,"Sep 29"
"lu","mp4",0,28,11.2,52172808,"Sep 27"
"lec19","mp4",0,21,57.5,76783206,"Oct 11"
"lec39","mp4",0,16,38.17,33892807,"Dec 01"
"lec101","mp4",0,13,15.73,64439867,"Oct 29"
"lec18","mp4",0,19,15.53,56693538,"Oct 05"
"p2","mp4",0,42,27.16,312014476,"May 21"
"diff1","mp4",0,11,2.77,23402180,"Sep 27"
"lec16","mp4",0,26,31.8,109436299,"Oct 20"
"lec26","mp4",0,14,10.1,38105331,"Nov 03"
"lec34","mp4",0,14,20.03,35807091,"Nov 21"
"lec6","mp4",0,10,5.07,20956356,"Oct 21"
"lec29","mp4",0,15,20.37,34144091,"Nov 10"
"lec13","mp4",0,22,49,59270898,"Sep 28"
"r2","mp4",0,31,55.32,217493449,"May 22"
"lec17","mp4",0,32,26.8,83100485,"Oct 01"
"lec27","mp4",0,11,45.77,20086408,"Nov 04"
"How To Draw A Haunted House","mp4",0,13,49.3,98856772,"Aug 11"
"anim","mp4",0,0,5.04,17502,"Sep 10"
"Free 3D Shrek model for Blender by Peter Hidi","mp4",0,4,47.02,30038504,"Aug 14"
